"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"1",1.544798,11.52034,1.884053,2.134312,2.361641,1.906411,2.069735,2.86961,1.829696,3.454498,3.383515,5.083354,3.698565,1.843896,1.831392,4.751974,3.183517,8.399085,4.26956,1.853916,1.926669,6.670686,2.770849,2.551372,3.149011,2.162007,3.783708,2.862397,1.94492,2.270701,3.105696,1.898508,3.515323,4.138237,3.329991,3.790991,1.955129,2.565441,2.130087,2.292087
"2",2.084183,7.256658,2.623114,2.223009,2.580793,1.886007,2.142049,3.283876,5.604819,4.156088,3.159517,6.78398,5.951947,1.920522,1.934138,5.207886,3.036205,7.747969,4.466658,2.013612,2.092752,5.456656,4.381497,2.771307,2.95618,2.017458,8.95857,11.7033,2.085585,2.756532,3.915668,2.028556,4.525997,4.05827,3.226693,2.901186,1.973057,2.333061,2.177124,2.694746
"3",1.414052,1.240985,4.680847,2.914942,3.761693,2.420398,2.35386,4.150348,2.746187,5.758903,4.403417,7.684181,4.679132,2.406068,2.49056,5.592843,3.971518,5.728496,5.840117,2.479674,2.576984,6.923797,10.85632,3.412546,4.211907,2.467619,4.943513,3.693448,3.558363,3.804131,4.153902,2.328339,4.062437,4.729602,4.105458,4.120513,2.585612,3.256085,2.585814,5.167878
"4",1.537887,7.410237,8.243445,1.785381,2.732486,4.421732,3.437981,9.40766,10.21976,16.71047,5.641612,5.799409,6.939415,2.791052,6.624648,2.103425,3.265891,11.18886,1.939107,1.830167,3.109115,2.674615,5.375194,3.195304,2.598457,2.060169,4.631411,1.991827,2.458876,3.111241,2.229588,1.798852,2.503166,3.070567,4.679651,2.86376,3.481435,3.495037,1.872726,2.378007
"5",1.928277,10.79018,5.970188,1.984371,3.110533,6.246932,3.277857,20.89565,2.641005,9.607269,6.605221,5.369705,4.9795,3.167164,8.59787,2.47667,3.26,6.718842,2.070896,2.05289,3.575696,3.628489,6.181842,3.674819,4.950389,2.474775,11.45752,3.14093,3.57754,3.2372,2.279172,2.025698,2.516623,7.029496,3.994419,3.473537,31.48198,4.897192,13.53117,3.497438
"6",1.897602,7.300606,5.465616,4.4751477,2.199014,6.175817,5.038103,4.4751477,3.656884,3.325006,4.052816,4.4751477,11.95981,4.093928,9.788096,4.4751477,2.222213,5.948506,1.918753,4.4751477,3.221844,3.223559,7.212583,4.4751477,2.886503,2.261761,3.967214,4.4751477,3.559513,2.126437,2.205271,4.4751477,2.913232,3.915154,4.13016,4.4751477,5.531562,7.653324,4.403544,4.4751477
"7",26.77757,25.41674,4.029316,14.89925,6.406468,8.494623,65.55625,4.265956,5.263012,7.279031,22.24325,4.523518,9.926279,17.69391,5.97688,31.84616,14.67498,9.207251,4.751834,5.134728,12.54692,11.94122,10.68002,9.270209,7.661543,6.131426,5.411182,3.572849,7.163239,8.643199,5.062008,8.478163,6.062762,20.72875,7.498188,6.97935,9.287558,6.048771,19.72637,11.9810444358974
"8",26.84835,14.0621,5.288808,20.9298,5.594074,7.275631,5.812628,3.317155,47.19452,4.587183,7.230783,45.54625,26.90051,18.93265,6.016365,9.627893,38.01827,15.526,4.255893,4.506833,48.77964,5.091056,9.374027,10.08089,49.14796,33.65796,15.26132,3.187373,7.682099,5.209194,47.73455,5.340811,6.812781,51.05426,11.38414,10.79342,10.00667,5.335837,9.867155,17.0069958717949
"9",49.48035,18.25923,6.28823,13.24461,33.95156,6.304035,22.15934,3.399901,18.39899,37.42914,6.283772,5.512355,27.51316,5.988394,8.45377,47.31869,57.13279,16.91162,4.75571,6.038799,14.30071,29.62624,21.09263,8.704847,10.93126,14.46808,17.12703,3.407319,24.43416,5.174977,3.359786,42.70747,6.819221,4.823336,15.10128,8.092409,11.02653,5.135581,34.66812,17.3288572307692
"10",8.11465,26.51841,10.58982,7.693231,37.27578,18.85762,32.67727,9.136462,12.44757,17.71836,12.77441,3.994374,47.76162,8.618233,36.76034,12.75318,29.34378,6.768641,8.33541,9.385286,6.297459,26.57508,11.69761,35.01126,8.045225,23.13661,10.87724,13.46189,5.475318,8.577757,26.50876,12.71255,5.903268,25.72456,6.562867,23.44607,5.340953,16.23026,15.6397,16.5320226666667
"11",14.29171,17.36477,9.683894,7.556573,10.20676,41.06516,12.3033,28.46167,15.88709,8.957455,8.075547,4.839703,19.70059,14.59262,18.69048,38.31306,8.136608,15.75673,6.70986,27.75392,6.65118,23.608,36.85439,14.5475,22.6729,36.95108,16.28853,6.329355,12.78655,22.86426,4.060866,22.82334,38.20053,6.215619,11.01281,28.50042,3.98561,7.894784,50.39036,17.9739893333333
"12",21.29857,8.297883,18.04785,5.809512,41.53909,21.10038,3.920395,17.93511,13.35107,20.45745,7.725902,25.92286,40.97637,15.82676,24.29274,11.51919,15.80143,14.4974,5.167641,17.43752,8.968081,5.061084,16.21497,10.38248,12.79102,11.33482,8.445124,8.445674,8.041149,12.68361,16.28643,27.87267,14.76447,19.34017,10.91162,23.15169,31.57058,17.81319,11.83002,16.072666025641
"13",2.21836,9.635481,13.89262,6.618653,28.626,5.564807,13.105,5.158052,5.700535,5.699445,13.63616,23.76514,15.00087,13.81181,7.213841,12.7158,6.872704,20.32607,4.152883,19.05937,10.33525,6.375613,4.649936,3.307802,30.37287,13.47098,7.303062,30.00678,2.939581,39.17672,9.013844,15.17535,9.666634,12.59468,24.89965,41.79245,25.75761,3.33228,10.41006,13.6757628974359
"14",4.467318,16.67015,23.65784,31.29413,10.09561,15.73667,48.89933,5.738192,5.317075,5.004655,4.983615,23.29981,31.12982,14.37053,23.52538,32.44439,9.636316,12.2781,3.997384,7.172465,5.238812,7.683086,5.469273,3.109059,14.83526,9.243969,13.53797,6.096404,5.534783,7.742557,35.82843,3.747489,4.556037,17.30294,5.04925,6.569556,43.20041,13.26006,13.17605,14.1256455128205
"15",2.14469,5.673601,18.82676,21.48144,8.374912,14.67329,28.76296,5.791531,6.513151,6.025041,7.241547,13.15313,4.860488,5.697678,18.35352,59.15436,12.4034,4.253597,5.396046,8.792293,6.425348,6.40767,4.951482,3.522311,15.4556,8.432127,5.050478,7.730064,3.128906,6.471307,18.73529,5.743657,4.905642,23.53176,16.72609,6.764671,8.141867,7.44682,16.74452,11.1253601282051
"16",1.08044,2.398559,11.40602,5.007966,2.954698,4.889891,7.873499,4.530218,3.626667,3.499931,3.866128,4.591787,3.945659,3.473331,8.218098,18.77948,11.47804,4.078892,4.74138,4.40926,6.196214,9.215321,5.186194,5.77429,5.000959,3.171378,6.579334,16.64835,2.65024,2.358853,3.064769,3.253261,4.082681,3.897779,3.826638,7.412697,4.422089,12.19672,9.441414,5.87766987179487
"17",1.135591,3.106565,3.460291,4.117499,6.162623,22.86769,4.102758,2.601388,3.092987,3.302279,4.166011,3.79908,2.134219,3.970754,3.300467,6.921004,14.94901,3.67179,6.412371,4.009592,6.676833,5.041785,5.58847,6.222182,5.388866,4.223777,14.06758,5.452628,5.958703,2.50827,9.987855,5.540182,15.18764,6.495969,4.787104,7.399123,4.452189,27.14474,3.949775,6.49634974358974
"18",5.186729,4.410598,9.400838,10.42567,5.941985,70.8746,3.437846,7.370061,6.523983,6.029891,7.104707,6.951881,3.509473,13.2418,12.63931,14.00354,66.29821,12.59236,44.51096,7.963058,34.0333,12.24156,11.09871,31.71585,14.75766,12.16451,26.60156,13.7952,4.642218,10.87262,6.357687,46.83239,11.80438,10.08006,11.17362,13.71544,9.849909,45.10295,7.321533,16.7327860769231
"19",97.79301,12.12445,15.4082,31.59992,46.13921,55.9903,36.49449,46.89451,62.85072,33.67099,58.8097,41.12205,40.30383,58.26497,33.19585,56.12356,130.2653,71.50479,67.13842,71.25644,41.39397,32.5329,75.49123,37.29903,61.33599,67.73244,141.9911,54.62936,38.50777,32.07572,23.37836,51.96489,28.15619,20.7385,15.90565,48.53628,66.38795,68.87103,63.47215,52.2397748717949
"20",74.04021,17.86078,36.55548,25.82405,42.60209,35.63463,16.16916,78.06369,95.79109,64.62283,25.11253,30.90086,44.13828,87.21707,89.16839,122.0434,65.45174,102.0939,95.07172,42.11672,86.55206,32.03371,53.6357,88.39312,71.57593,42.91957,117.9166,48.58301,52.95657,173.4399,80.07137,74.74409,79.64421,31.63331,17.08781,88.24088,33.60903,45.12439,42.65332,62.8536717948718
"21",76.74788,53.97788,83.29373,38.74857,39.036,124.7728,17.4729,155.0531,48.08775,110.1196,75.61686,116.8037,81.03153,132.7929,78.38422,34.89414,34.53744,211.9688,148.8758,154.1284,219.8016,97.43135,91.68503,53.13691,110.8629,105.6113,64.9577,89.76659,120.217,74.4931,78.568,143.9458,149.5311,138.5179,23.35082,142.9679,46.51025,75.28497,59.75738,94.9420923076923
"22",67.2804,68.7849,59.03819,41.81128,37.71539,126.4251,71.42708,105.6965,78.56693,44.46513,45.47602,114.4103,59.88593,35.11049,96.40371,70.75887,26.61686,94.39753,54.66104,121.4885,91.34599,118.6487,101.0256,80.69199,41.35078,135.1858,108.06,94.42633,20.81333,57.80014,113.6297,127.9323,68.80003,105.5283,94.52147,113.6183,90.68784,87.85233,78.11578,80.7808938461538
