"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"1",0.8233371,1.818928,0.6642916,0.7321953,1.274853,0.8208864,0.8442665,0.7519062,0.7893441,0.7891722,0.738661,1.063294,1.131092,0.7869897,0.7609472,0.8803381,0.8885866,0.8708161,1.855507,0.7900586,0.5357229,0.5882033,0.5367039,0.8938879,0.4617369,0.4917284,0.5695245,0.4086774,0.4307786,2.783644,1.042517,0.481614,0.9875798,0.9843485,0.9668356,1.031558,0.6819874,0.6654905,0.7112037,1.21328
"2",0.7601501,2.244908,0.8404783,0.7585003,1.374612,0.8020403,0.8341088,0.6451129,1.08445,0.7799329,0.825874,1.150804,1.944984,0.8201784,0.7492309,0.87643,0.9390946,0.9204099,1.870431,0.8385261,0.5688928,1.268849,0.5700352,3.088974,1.084681,0.5133264,0.6266661,1.86159,0.4598472,0.8916585,0.9272287,0.5123363,1.076181,1.031252,1.082585,1.009733,0.7167689,0.7104602,0.7654748,1.298986
"3",0.9085753,0.985271,1.117802,1.02071,2.014898,1.131071,1.067767,1.032806,1.204619,1.154765,1.096488,2.067387,1.683377,1.092853,1.166435,1.313838,1.326148,1.299627,2.45646,1.179218,1.089283,1.228992,1.091214,1.817362,0.9387245,0.8822234,1.219928,1.819912,0.815068,1.76481,1.615927,0.9061087,1.469331,1.450105,1.424027,1.432158,1.016623,1.062887,1.235711,2.032163
"4",0.6793681,3.36697,1.37584,0.6937264,1.735312,1.25352,0.8398219,1.974311,1.064825,1.61878,0.844734,1.131043,1.336137,1.165374,0.9436948,1.042136,0.7463593,1.643877,0.7535985,0.8214303,0.5520429,0.6215757,1.354986,0.7623929,0.6326418,0.5176649,0.7765397,0.4802181,1.200489,1.24352,0.5866066,0.5411716,0.8285301,0.960382,1.012083,0.6775299,1.013111,0.6366379,1.034311,0.7650787
"5",1.057707,1.680243,1.655157,0.9639372,2.333809,1.708142,1.11581,5.626409,0.9526321,2.646089,1.244304,1.340302,1.880659,1.552167,1.342169,3.792018,1.102685,1.025279,1.02067,0.767822,0.7772998,0.8309076,1.907416,1.072677,0.8901703,0.7796618,1.320735,0.7777355,1.617149,0.9093083,0.7765744,0.7422578,1.031155,1.491886,1.217862,1.001055,10.94647,1.046059,1.961888,1.17543
"6",1.587864,3.429131,2.208303,2.1276872,3.095627,1.831993,1.807576,2.1276872,1.710136,1.416313,1.63498,2.1276872,2.408704,3.548683,1.867164,2.1276872,1.438275,1.393308,1.663134,2.1276872,1.86474,1.588949,6.540244,2.1276872,1.282359,1.103665,1.794386,2.1276872,2.716144,1.078856,1.188805,2.1276872,1.364023,1.819993,1.618404,2.1276872,2.232018,1.365744,5.231095,2.1276872
"7",7.301108,27.06152,3.873486,6.121533,18.0254,5.39268,11.42442,3.044877,6.078201,27.82344,4.775539,7.177182,10.86167,3.468636,7.707159,21.8613,6.858359,16.07159,5.465741,3.308934,7.035385,8.384352,9.725161,5.122774,12.95504,14.27952,6.851556,4.027749,4.868845,5.082523,2.770374,3.199232,3.594717,5.627819,6.040256,5.18623,6.318106,4.759583,6.412212,8.35754382051282
"8",17.60647,11.77348,5.59133,22.42017,7.527659,3.991794,5.766226,2.993239,14.06521,8.320991,4.592363,14.04968,49.77354,3.325674,7.746221,9.672731,15.13044,15.62005,4.254008,3.260653,11.07456,4.747746,8.382556,11.06118,29.23823,12.4831,4.451963,3.517369,5.265415,15.67732,16.98228,3.765372,5.438036,17.53109,5.155367,10.00498,4.839799,5.64596,9.74048,10.5765315897436
"9",29.68689,6.597445,4.318496,7.079815,13.86012,6.340247,6.76546,3.441125,11.11563,10.61033,5.548623,11.5341,13.0013,4.183588,11.05483,39.58361,15.55894,8.522164,12.63299,6.451445,11.97601,29.34363,15.19341,5.888943,10.31008,6.795479,23.28725,3.103231,14.38876,8.062135,2.871276,5.660579,5.234914,3.10453,12.28714,9.988336,4.050824,8.241159,9.47499,10.6961493333333
"10",13.1123,28.15847,7.208698,10.31231,44.62947,13.92935,15.49093,7.275812,7.2655,6.89164,44.89728,7.236424,40.73476,7.441055,13.22374,21.30359,28.97299,8.996723,8.385286,37.04785,9.777498,11.98482,7.967913,21.55617,12.48557,17.24361,21.40373,32.82109,13.01364,15.57846,8.757249,10.00822,7.229797,17.82738,7.536102,15.75697,7.859915,24.16975,7.378609,16.4838633589744
