"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"1-Jan",0.05558524,0.09799937,0.04420997,0.04830147,0.07440469,0.05234143,0.05318764,0.04878216,0.05081463,0.05150906,0.04850168,0.06984286,0.07469848,0.05068404,0.04962837,0.05676557,0.05626158,0.05892819,0.116072,0.0504201,0.03764353,0.04195169,0.03878379,0.06102977,0.03430513,0.03557473,0.04133947,0.03289251,0.03256916,0.09942535,0.0631681,0.03514662,0.03902183,0.03849089,0.03824939,0.04076718,0.02791017,0.02780274,0.09150144,0.04534506
"2-Jan",0.05558524,0.09799937,0.04420997,0.04830147,0.07440469,0.05234143,0.05318764,0.04878216,0.05081463,0.05150906,0.04850168,0.06984286,0.07469848,0.05068404,0.04962837,0.05676557,0.05626158,0.05892819,0.116072,0.0504201,0.03764353,0.04195169,0.03878379,0.06102977,0.03430513,0.03557473,0.04133947,0.03289251,0.03256916,0.09942535,0.0631681,0.03514662,0.03902183,0.03849089,0.03824939,0.04076718,0.02791017,0.02780274,0.09150144,0.04534506
"3-Jan",0.05558524,0.09799937,0.04420997,0.04830147,0.07440469,0.05234143,0.05318764,0.04878216,0.05081463,0.05150906,0.04850168,0.06984286,0.07469848,0.05068404,0.04962837,0.05676557,0.05626158,0.05892819,0.116072,0.0504201,0.03764353,0.04195169,0.03878379,0.06102977,0.03430513,0.03557473,0.04133947,0.03289251,0.03256916,0.09942535,0.0631681,0.03514662,0.03902183,0.03849089,0.03824939,0.04076718,0.02791017,0.02780274,0.09150144,0.04534506
"4-Jan",0.05558524,0.09799937,0.04420997,0.04830147,0.07440469,0.05234143,0.05318764,0.04878216,0.05081463,0.05150906,0.04850168,0.06984286,0.07469848,0.05068404,0.04962837,0.05676557,0.05626158,0.05892819,0.116072,0.0504201,0.03764353,0.04195169,0.03878379,0.06102977,0.03430513,0.03557473,0.04133947,0.03289251,0.03256916,0.09942535,0.0631681,0.03514662,0.03902183,0.03849089,0.03824939,0.04076718,0.02791017,0.02780274,0.09150144,0.04534506
"5-Jan",0.05558524,0.09799937,0.04420997,0.04830147,0.07440469,0.05234143,0.05318764,0.04878216,0.05081463,0.05150906,0.04850168,0.06984286,0.07469848,0.05068404,0.04962837,0.05676557,0.05626158,0.05892819,0.116072,0.0504201,0.03764353,0.04195169,0.03878379,0.06102977,0.03430513,0.03557473,0.04133947,0.03289251,0.03256916,0.09942535,0.0631681,0.03514662,0.03902183,0.03849089,0.03824939,0.04076718,0.02791017,0.02780274,0.09150144,0.04534506
"6-Jan",0.05558524,0.09799937,0.04420997,0.04830147,0.07440469,0.05234143,0.05318764,0.04878216,0.05081463,0.05150906,0.04850168,0.06984286,0.07469848,0.05068404,0.04962837,0.05676557,0.05626158,0.05892819,0.116072,0.0504201,0.03764353,0.04195169,0.03878379,0.06102977,0.03430513,0.03557473,0.04133947,0.03289251,0.03256916,0.09942535,0.0631681,0.03514662,0.03902183,0.03849089,0.03824939,0.04076718,0.02791017,0.02780274,0.09150144,0.04534506
"7-Jan",0.05558524,0.09799937,0.04420997,0.04830147,0.07440469,0.05234143,0.05318764,0.04878216,0.05081463,0.05150906,0.04850168,0.06984286,0.07469848,0.05068404,0.04962837,0.05676557,0.05626158,0.05892819,0.116072,0.0504201,0.03764353,0.04195169,0.03878379,0.06102977,0.03430513,0.03557473,0.04133947,0.03289251,0.03256916,0.09942535,0.0631681,0.03514662,0.03902183,0.03849089,0.03824939,0.04076718,0.02791017,0.02780274,0.09150144,0.04534506
"8-Jan",0.05558524,0.09799937,0.04420997,0.04830147,0.07440469,0.05234143,0.05318764,0.04878216,0.05081463,0.05150906,0.04850168,0.06984286,0.07469848,0.05068404,0.04962837,0.05676557,0.05626158,0.05892819,0.116072,0.0504201,0.03764353,0.04195169,0.03878379,0.06102977,0.03430513,0.03557473,0.04133947,0.03289251,0.03256916,0.09942535,0.0631681,0.03514662,0.03902183,0.03849089,0.03824939,0.04076718,0.02791017,0.02780274,0.09150144,0.04534506
"9-Jan",0.05558524,0.09799937,0.04420997,0.04830147,0.07440469,0.05234143,0.05318764,0.04878216,0.05081463,0.05150906,0.04850168,0.06984286,0.07469848,0.05068404,0.04962837,0.05676557,0.05626158,0.05892819,0.116072,0.0504201,0.03764353,0.04195169,0.03878379,0.06102977,0.03430513,0.03557473,0.04133947,0.03289251,0.03256916,0.09942535,0.0631681,0.03514662,0.03902183,0.03849089,0.03824939,0.04076718,0.02791017,0.02780274,0.09150144,0.04534506
"10-Jan",0.05558524,0.09799937,0.04420997,0.04830147,0.07440469,0.05234143,0.05318764,0.04878216,0.05081463,0.05150906,0.04850168,0.06984286,0.07469848,0.05068404,0.04962837,0.05676557,0.05626158,0.05892819,0.116072,0.0504201,0.03764353,0.04195169,0.03878379,0.06102977,0.03430513,0.03557473,0.04133947,0.03289251,0.03256916,0.09942535,0.0631681,0.03514662,0.03902183,0.03849089,0.03824939,0.04076718,0.02791017,0.02780274,0.09150144,0.04534506
