"Year","Sow Dekad","Rainfall for Phase  1","Rainfall for Phase  2","Rainfall for Phase  3","Payout for Phase  1","Payout for Phase  2","Payout for Phase  3","Total Payout"
1983,16,9.89,2.07,33.97,0,0,19.54,19.54
1984,16,0.3,0.3,0,100,0,100,200
1985,16,0,25,50,100,0,0,100
1986,16,25,35.09,35.09,0,0,16.42,16.42
1987,16,1.88,4.11,14.23,100,0,74.35,174.35
1988,16,0,0,50,100,0,0,100
1989,16,0.63,13.37,51.84,100,0,0,100
1990,16,0,0,37.63,100,0,9.35,109.35
1991,16,0,25,50,100,0,0,100
1992,16,0,16.4,46.55,100,0,0,100
1993,16,0,0,50,100,0,0,100
1994,16,0,25,75,100,0,0,100
1995,16,3.06,4.18,54.18,100,0,0,100
1996,16,15.85,24.28,58.77,0,0,0,0
1997,16,34.5,38.36,50,0,0,0,0
1998,16,0,25,75,100,0,0,100
1999,16,1.76,26.76,75,100,0,0,100
2000,16,2.1,11.22,38.35,100,0,7.37,107.37
2001,16,12.86,12.86,50,0,0,0,0
2002,16,8.77,24.81,57.85,0,0,0,0
2003,16,0,12.56,48.56,100,0,0,100
2004,16,4.84,4.84,28.5,100,0,34.73,134.73
2005,16,0,19.56,65.32,100,0,0,100
2006,16,0,25,75,100,0,0,100
2007,16,1.4,26.4,75,100,0,0,100
2008,16,10.77,9.93,56.15,0,0,0,0
2009,16,0,21.86,54.49,100,0,0,100
2010,16,0,0,50,100,0,0,100
2011,16,12.94,0,50,0,0,0,0
2012,16,0,0,50,100,0,0,100
2013,16,0,0,50,100,0,0,100
2014,16,0,0,25,100,0,44.44,144.44
2015,16,0,0,0,100,0,100,200
2016,16,0,0,50,100,0,0,100
2017,16,0,25,60.41,100,0,0,100
2018,16,3.5,25,61.79,100,0,0,100
2019,16,8.31,25,50,0,0,0,0
