Time,Monitoring Merged Station-Satellite Rainfall
1-10 Jan 1981,0.0
11-20 Jan 1981,1.0
21-31 Jan 1981,0.0
1-10 Feb 1981,3.0
11-20 Feb 1981,5.0
21-28 Feb 1981,1.0
1-10 Mar 1981,5.0
11-20 Mar 1981,35.0
21-31 Mar 1981,39.0
1-10 Apr 1981,5.0
11-20 Apr 1981,12.0
21-30 Apr 1981,26.0
1-10 May 1981,6.0
11-20 May 1981,19.0
21-31 May 1981,1.0
1-10 Jun 1981,0.0
11-20 Jun 1981,0.0
21-30 Jun 1981,10.0
1-10 Jul 1981,65.0
11-20 Jul 1981,77.0
21-31 Jul 1981,94.0
1-10 Aug 1981,60.0
11-20 Aug 1981,74.0
21-31 Aug 1981,41.0
1-10 Sep 1981,15.0
11-20 Sep 1981,28.0
21-30 Sep 1981,8.0
1-10 Oct 1981,11.0
11-20 Oct 1981,0.0
21-31 Oct 1981,0.0
1-10 Nov 1981,3.0
11-20 Nov 1981,0.0
21-30 Nov 1981,3.0
1-10 Dec 1981,0.0
11-20 Dec 1981,1.0
21-31 Dec 1981,0.0
1-10 Jan 1982,7.0
11-20 Jan 1982,10.0
21-31 Jan 1982,0.0
1-10 Feb 1982,7.0
11-20 Feb 1982,15.0
21-28 Feb 1982,6.0
1-10 Mar 1982,8.0
11-20 Mar 1982,5.0
21-31 Mar 1982,3.0
1-10 Apr 1982,23.0
11-20 Apr 1982,9.0
21-30 Apr 1982,10.0
1-10 May 1982,52.0
11-20 May 1982,15.0
21-31 May 1982,6.0
1-10 Jun 1982,0.0
11-20 Jun 1982,1.0
21-30 Jun 1982,5.0
1-10 Jul 1982,36.0
11-20 Jul 1982,31.0
21-31 Jul 1982,59.0
1-10 Aug 1982,77.0
11-20 Aug 1982,71.0
21-31 Aug 1982,38.0
1-10 Sep 1982,25.0
11-20 Sep 1982,25.0
21-30 Sep 1982,13.0
1-10 Oct 1982,34.0
11-20 Oct 1982,29.0
21-31 Oct 1982,0.0
1-10 Nov 1982,14.0
11-20 Nov 1982,0.0
21-30 Nov 1982,6.0
1-10 Dec 1982,0.0
11-20 Dec 1982,6.0
21-31 Dec 1982,0.0
1-10 Jan 1983,1.0
11-20 Jan 1983,0.0
21-31 Jan 1983,0.0
1-10 Feb 1983,22.0
11-20 Feb 1983,5.0
21-28 Feb 1983,0.0
1-10 Mar 1983,0.0
11-20 Mar 1983,5.0
21-31 Mar 1983,0.0
1-10 Apr 1983,10.0
11-20 Apr 1983,12.0
21-30 Apr 1983,6.0
1-10 May 1983,27.0
11-20 May 1983,42.0
21-31 May 1983,17.0
1-10 Jun 1983,12.0
11-20 Jun 1983,1.0
21-30 Jun 1983,0.0
1-10 Jul 1983,20.0
11-20 Jul 1983,29.0
21-31 Jul 1983,75.0
1-10 Aug 1983,47.0
11-20 Aug 1983,68.0
21-31 Aug 1983,33.0
1-10 Sep 1983,7.0
11-20 Sep 1983,17.0
21-30 Sep 1983,0.0
1-10 Oct 1983,22.0
