"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"1-Jan",0.1072239,0.2417184,0.126523,0.1547556,0.1558836,0.1558836,0.1546915,0.1438204,0.1558836,0.160941,0.1558836,0.1558836,0.1535636,0.1547556,0.1558836,0.1558836,0.1558836,0.1558836,0.1558836,0.1558836,0.1058624,0.1058624,0.1058624,0.1058624,0.1058624,0.1058624,0.1058624,0.1058624,0.1058624,0.2344292,0.1058624,0.1058624,0.1834607,0.1908841,0.1908841,0.1908841,0.1908841,0.1908841,0.3775619,0.1908841
"2-Jan",0.1072239,0.2417184,0.126523,0.1547556,0.1558836,0.1558836,0.1546915,0.1438204,0.1558836,0.160941,0.1558836,0.1558836,0.1535636,0.1547556,0.1558836,0.1558836,0.1558836,0.1558836,0.1558836,0.1558836,0.1058624,0.1058624,0.1058624,0.1058624,0.1058624,0.1058624,0.1058624,0.1058624,0.1058624,0.2344292,0.1058624,0.1058624,0.1834607,0.1908841,0.1908841,0.1908841,0.1908841,0.1908841,0.3775619,0.1908841
"3-Jan",0.1072239,0.2417184,0.126523,0.1547556,0.1558836,0.1558836,0.1546915,0.1438204,0.1558836,0.160941,0.1558836,0.1558836,0.1535636,0.1547556,0.1558836,0.1558836,0.1558836,0.1558836,0.1558836,0.1558836,0.1058624,0.1058624,0.1058624,0.1058624,0.1058624,0.1058624,0.1058624,0.1058624,0.1058624,0.2344292,0.1058624,0.1058624,0.1834607,0.1908841,0.1908841,0.1908841,0.1908841,0.1908841,0.3775619,0.1908841
"4-Jan",0.1072239,0.2417184,0.126523,0.1547556,0.1558836,0.1558836,0.1546915,0.1438204,0.1558836,0.160941,0.1558836,0.1558836,0.1535636,0.1547556,0.1558836,0.1558836,0.1558836,0.1558836,0.1558836,0.1558836,0.1058624,0.1058624,0.1058624,0.1058624,0.1058624,0.1058624,0.1058624,0.1058624,0.1058624,0.2344292,0.1058624,0.1058624,0.1834607,0.1908841,0.1908841,0.1908841,0.1908841,0.1908841,0.3775619,0.1908841
"5-Jan",0.1072239,0.2417184,0.126523,0.1547556,0.1558836,0.1558836,0.1546915,0.1438204,0.1558836,0.160941,0.1558836,0.1558836,0.1535636,0.1547556,0.1558836,0.1558836,0.1558836,0.1558836,0.1558836,0.1558836,0.1058624,0.1058624,0.1058624,0.1058624,0.1058624,0.1058624,0.1058624,0.1058624,0.1058624,0.2344292,0.1058624,0.1058624,0.1834607,0.1908841,0.1908841,0.1908841,0.1908841,0.1908841,0.3775619,0.1908841
"6-Jan",0.1072239,0.2417184,0.126523,0.1547556,0.1558836,0.1558836,0.1546915,0.1438204,0.1558836,0.160941,0.1558836,0.1558836,0.1535636,0.1547556,0.1558836,0.1558836,0.1558836,0.1558836,0.1558836,0.1558836,0.1058624,0.1058624,0.1058624,0.1058624,0.1058624,0.1058624,0.1058624,0.1058624,0.1058624,0.2344292,0.1058624,0.1058624,0.1834607,0.1908841,0.1908841,0.1908841,0.1908841,0.1908841,0.3775619,0.1908841
"7-Jan",0.1072239,0.2417184,0.126523,0.1547556,0.1558836,0.1558836,0.1546915,0.1438204,0.1558836,0.160941,0.1558836,0.1558836,0.1535636,0.1547556,0.1558836,0.1558836,0.1558836,0.1558836,0.1558836,0.1558836,0.1058624,0.1058624,0.1058624,0.1058624,0.1058624,0.1058624,0.1058624,0.1058624,0.1058624,0.2344292,0.1058624,0.1058624,0.1834607,0.1908841,0.1908841,0.1908841,0.1908841,0.1908841,0.3775619,0.1908841
"8-Jan",0.1072239,0.2417184,0.126523,0.1547556,0.1558836,0.1558836,0.1546915,0.1438204,0.1558836,0.160941,0.1558836,0.1558836,0.1535636,0.1547556,0.1558836,0.1558836,0.1558836,0.1558836,0.1558836,0.1558836,0.1058624,0.1058624,0.1058624,0.1058624,0.1058624,0.1058624,0.1058624,0.1058624,0.1058624,0.2344292,0.1058624,0.1058624,0.1834607,0.1908841,0.1908841,0.1908841,0.1908841,0.1908841,0.3775619,0.1908841
"9-Jan",0.1072239,0.2417184,0.126523,0.1547556,0.1558836,0.1558836,0.1546915,0.1438204,0.1558836,0.160941,0.1558836,0.1558836,0.1535636,0.1547556,0.1558836,0.1558836,0.1558836,0.1558836,0.1558836,0.1558836,0.1058624,0.1058624,0.1058624,0.1058624,0.1058624,0.1058624,0.1058624,0.1058624,0.1058624,0.2344292,0.1058624,0.1058624,0.1834607,0.1908841,0.1908841,0.1908841,0.1908841,0.1908841,0.3775619,0.1908841
"10-Jan",0.1072239,0.2417184,0.126523,0.1547556,0.1558836,0.1558836,0.1546915,0.1438204,0.1558836,0.160941,0.1558836,0.1558836,0.1535636,0.1547556,0.1558836,0.1558836,0.1558836,0.1558836,0.1558836,0.1558836,0.1058624,0.1058624,0.1058624,0.1058624,0.1058624,0.1058624,0.1058624,0.1058624,0.1058624,0.2344292,0.1058624,0.1058624,0.1834607,0.1908841,0.1908841,0.1908841,0.1908841,0.1908841,0.3775619,0.1908841
"11-Jan",0.1074544,0.3085177,0.1661792,0.1649098,0.1674012,0.1661792,0.1674012,0.1389211,0.2331007,0.1674012,0.1674012,0.1674012,0.2707981,0.1649098,0.1674012,0.1674012,0.1674012,0.1674012,0.1674012,0.1674012,0.1136841,0.3439572,0.1136841,0.1136841,0.2583748,0.1136841,0.1136841,0.1136841,0.1136841,0.1136841,0.2583748,0.1136841,0.1970159,0.2058169,0.2058169,0.2058169,0.176363184615385,0.2058169,0.2058169,0.2058169
"12-Jan",0.1074544,0.3085177,0.1661792,0.1649098,0.1674012,0.1661792,0.1674012,0.1389211,0.2331007,0.1674012,0.1674012,0.1674012,0.2707981,0.1649098,0.1674012,0.1674012,0.1674012,0.1674012,0.1674012,0.1674012,0.1136841,0.3439572,0.1136841,0.1136841,0.2583748,0.1136841,0.1136841,0.1136841,0.1136841,0.1136841,0.2583748,0.1136841,0.1970159,0.2058169,0.2058169,0.2058169,0.176363184615385,0.2058169,0.2058169,0.2058169
"13-Jan",0.1074544,0.3085177,0.1661792,0.1649098,0.1674012,0.1661792,0.1674012,0.1389211,0.2331007,0.1674012,0.1674012,0.1674012,0.2707981,0.1649098,0.1674012,0.1674012,0.1674012,0.1674012,0.1674012,0.1674012,0.1136841,0.3439572,0.1136841,0.1136841,0.2583748,0.1136841,0.1136841,0.1136841,0.1136841,0.1136841,0.2583748,0.1136841,0.1970159,0.2058169,0.2058169,0.2058169,0.176363184615385,0.2058169,0.2058169,0.2058169
"14-Jan",0.1074544,0.3085177,0.1661792,0.1649098,0.1674012,0.1661792,0.1674012,0.1389211,0.2331007,0.1674012,0.1674012,0.1674012,0.2707981,0.1649098,0.1674012,0.1674012,0.1674012,0.1674012,0.1674012,0.1674012,0.1136841,0.3439572,0.1136841,0.1136841,0.2583748,0.1136841,0.1136841,0.1136841,0.1136841,0.1136841,0.2583748,0.1136841,0.1970159,0.2058169,0.2058169,0.2058169,0.176363184615385,0.2058169,0.2058169,0.2058169
