"","MIXEDVEGg"
"1981",0.21697089970949
"1982",0.218346980386304
"1983",0.196973440117959
"1984",0.184408729064875
"1985",0.188821947284766
"1986",0.226196107178671
"1987",0.196933986892646
"1988",0.196294149048526
"1989",0.196811279753864
"1990",0.207688740477048
"1991",0.190386544819169
"1992",0.231477078982298
"1993",0.183168506601948
"1994",0.276761664894676
"1995",0.249270103195306
"1996",0.22846624358943
"1997",0.192056242267835
"1998",0.259599729256814
"1999",0.232388633254191
"2000",0.2075597
"2001",0.25555
"2002",0.1758038
"2003",0.2288206
"2004",0.2072264
"2005",0.2181766
"2006",0.2214599
"2007",0.2293784
"2008",0.1815366
"2009",0.1987438
"2010",0.1992496
"2011",0.2082132
"2012",0.2023187
"2013",0.2020611
"2014",0.217876
"2015",0.1533057
"2016",0.1877357
"2017",0.2030033
"2018",0.2088104
"2019",0.2234447
