"","1","2","3"
"1983",3,15.3888888888889,56.1888888888889
"1984",0.7,0,22.7
"1985",0,25,60.9
"1986",26.1685714285714,50,58.8
"1987",6.10000000000001,17.5,48
"1988",14.6,33.7,70.3
"1989",9.3352380952381,32.9,71.4
"1990",0,25,75
"1991",0.6,25,74.2
"1992",0,13.5,51.8
"1993",1.2,13.4,63.4
"1994",1.4,25,75
"1995",9.4,7.9,50
"1996",5.6,25,72.7
"1997",19,36.3,55.8
"1998",0.7,25,75
"1999",16,40.3,75
"2000",19.8,44,75
"2001",23.1,22.2,50
"2002",1.2,13.4,52.9
"2003",0,25,74.6
"2004",20.3,32.1,50.3
"2005",16.2,40.4,75
"2006",5.6,30,70.8
"2007",19.6,42.1,75
"2008",2.6,20.9,70.9
"2009",7.2,32.2,75
"2010",20.4,35.1,66
"2011",1.7,13.4,63.4
"2012",5.5,30.5,75
"2013",0.7,18.6,68.6
"2014",0,0,34.6
"2015",0,9.7,30.9
"2016",2,0,50
"2017",0.8,25,69.2
"2018",20.9,43.2,75
"2019",10.2,32.2,75
