"Year","Sow Dekad","Rainfall for Phase  1","Rainfall for Phase  2","Rainfall for Phase  3","Payout for Phase  1","Payout for Phase  2","Payout for Phase  3","Total Payout"
1983,16,9.63,1.72,16.63,0,0,64.75,64.75
1984,16,0.31,0.31,7.06,100,0,93.74,193.74
1985,16,0,22.58,45.56,100,0,0,100
1986,16,32.48,34.96,34.96,0,0,9.21,9.21
1987,16,1.99,3.59,16.52,100,0,65.09,165.09
1988,16,0,0,50,100,0,0,100
1989,16,0.66,6.88,45.26,100,0,0,100
1990,16,0,0,37.27,100,0,2.21,102.21
1991,16,0,25,50,100,0,0,100
1992,16,0,15.36,40.36,100,0,0,100
1993,16,0,0,50,100,0,0,100
1994,16,0,25,63,100,0,0,100
1995,16,3.06,2.55,52.55,100,0,0,100
1996,16,16.91,17.13,59.85,0,0,0,0
1997,16,34.85,34.85,50,0,0,0,0
1998,16,0,25,75,100,0,0,100
1999,16,2.11,9.48,57.37,100,0,0,100
2000,16,2,10.14,35.61,100,0,7.24,107.24
2001,16,12.96,12.96,49.52,0,0,0,0
2002,16,8.13,25,56.61,0,0,0,0
2003,16,0,6.68,47.13,100,0,0,100
2004,16,4.81,4.81,16.15,100,0,66.22,166.22
2005,16,0,12.96,51.73,100,0,0,100
2006,16,0,25,75,100,0,0,100
2007,16,2.38,27.38,75,100,0,0,100
2008,16,7.62,10.41,60.41,0,0,0,0
2009,16,0,13.5,46.73,100,0,0,100
2010,16,0,0,50,100,0,0,100
2011,16,15.33,0,50,0,0,0,0
2012,16,8.71,8.71,50,0,0,0,0
2013,16,0,0,50,100,0,0,100
2014,16,0,0,25,100,0,39.39,139.39
2015,16,0,0,0,100,0,100,200
2016,16,0,0,50,100,0,0,100
2017,16,5.3,21.53,57.75,0,0,0,0
2018,16,0,25,48.31,100,0,0,100
2019,16,11.98,10.54,60.54,0,0,0,0
