Year,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00833333333333333,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2.37777777777778,21.4,2.37777777777778,2.37777777777778,2.37777777777778,0,2.37777777777778,2.37777777777778,2.37777777777778,0,2.37777777777778,2.37777777777778,2.37777777777778,0,2.37777777777778,2.37777777777778,2.37777777777778,0,2.37777777777778,2.37777777777778,2.37777777777778,0,2.37777777777778,2.37777777777778,2.37777777777778,0,2.37777777777778,2.37777777777778,2.37777777777778,0,2.37777777777778,2.37777777777778,2.37777777777778,0,2.37777777777778,2.37777777777778,2.37777777777778
7,0,0,19.5823529411765,3.9909243697479,0,0,0,26.9823529411765,0,0,0,3.00857142857143,0,33.4,0,0,0,0,0,16.1,0,0,18.6,26,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2.36285714285714,0,7.12,26.4,4.75714285714286,0,0,0,0,0,29.4,0,26.4,0,18.2,0,0,0,0,0,0,0,37.7,18.2,0,0,18.2,29.9,16.9,0,0,27.9,0,0,0,0,0
9,0,0,3.29428571428571,0,0,0,40.4,0,0,0,0,3.29428571428571,0,90.7,0,0,0,0,0,0,0,0,44.5,0,21.6,0,26.4,0,0,0,0,0,0,0,25.6,0,0
10,6.21714285714285,5,10.3941176470588,12.4,0,18.5,5,5.3,49.6,4.1,13.5,5.39411764705884,11.6112605042017,15.6,26.7,0,0,85.6,0,20.9,0,34.8,0,7.4,8.3,17.3,15.4,7.2,7.2,4.1,5.3,0,0,7.8,0,11.8,7.2
11,0,17.9,4.5,34.2,27.6242424242424,28.9,24.6,0,19.1,9.8,16.0131313131313,7.3,37.4,11.9,6.4,16.4242424242424,9.1,52.3,0,0,12.7,15,14.6242424242424,31.3,0,23.9,0,30.1,15.4,27.1,24.9,21.7,6.8,20.3,16.1,0,9.1
