"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"1-Jan",0.2083393,1.606447,0.2651849,0.3251142,0.4202627,0.4214346,0.4393553,0.4405669,0.3731564,0.5049816,0.5320851,0.638752,0.8740128,0.3061684,0.3009114,0.5675684,0.5304222,3.781797,0.9426991,0.2914834,0.2879247,0.8549495,0.5069122,0.4413516,0.4158036,0.3421989,0.5184064,0.6503047,0.2810912,0.5858165,0.4286078,0.3089616,0.5187821,0.4630071,0.4530612,0.4946407,0.2451877,0.3322132,0.2978091,0.3356121
"2-Jan",0.2083393,1.606447,0.2651849,0.3251142,0.4202627,0.4214346,0.4393553,0.4405669,0.3731564,0.5049816,0.5320851,0.638752,0.8740128,0.3061684,0.3009114,0.5675684,0.5304222,3.781797,0.9426991,0.2914834,0.2879247,0.8549495,0.5069122,0.4413516,0.4158036,0.3421989,0.5184064,0.6503047,0.2810912,0.5858165,0.4286078,0.3089616,0.5187821,0.4630071,0.4530612,0.4946407,0.2451877,0.3322132,0.2978091,0.3356121
"3-Jan",0.2083393,1.606447,0.2651849,0.3251142,0.4202627,0.4214346,0.4393553,0.4405669,0.3731564,0.5049816,0.5320851,0.638752,0.8740128,0.3061684,0.3009114,0.5675684,0.5304222,3.781797,0.9426991,0.2914834,0.2879247,0.8549495,0.5069122,0.4413516,0.4158036,0.3421989,0.5184064,0.6503047,0.2810912,0.5858165,0.4286078,0.3089616,0.5187821,0.4630071,0.4530612,0.4946407,0.2451877,0.3322132,0.2978091,0.3356121
"4-Jan",0.2083393,1.606447,0.2651849,0.3251142,0.4202627,0.4214346,0.4393553,0.4405669,0.3731564,0.5049816,0.5320851,0.638752,0.8740128,0.3061684,0.3009114,0.5675684,0.5304222,3.781797,0.9426991,0.2914834,0.2879247,0.8549495,0.5069122,0.4413516,0.4158036,0.3421989,0.5184064,0.6503047,0.2810912,0.5858165,0.4286078,0.3089616,0.5187821,0.4630071,0.4530612,0.4946407,0.2451877,0.3322132,0.2978091,0.3356121
"5-Jan",0.2083393,1.606447,0.2651849,0.3251142,0.4202627,0.4214346,0.4393553,0.4405669,0.3731564,0.5049816,0.5320851,0.638752,0.8740128,0.3061684,0.3009114,0.5675684,0.5304222,3.781797,0.9426991,0.2914834,0.2879247,0.8549495,0.5069122,0.4413516,0.4158036,0.3421989,0.5184064,0.6503047,0.2810912,0.5858165,0.4286078,0.3089616,0.5187821,0.4630071,0.4530612,0.4946407,0.2451877,0.3322132,0.2978091,0.3356121
"6-Jan",0.2083393,1.606447,0.2651849,0.3251142,0.4202627,0.4214346,0.4393553,0.4405669,0.3731564,0.5049816,0.5320851,0.638752,0.8740128,0.3061684,0.3009114,0.5675684,0.5304222,3.781797,0.9426991,0.2914834,0.2879247,0.8549495,0.5069122,0.4413516,0.4158036,0.3421989,0.5184064,0.6503047,0.2810912,0.5858165,0.4286078,0.3089616,0.5187821,0.4630071,0.4530612,0.4946407,0.2451877,0.3322132,0.2978091,0.3356121
"7-Jan",0.2083393,1.606447,0.2651849,0.3251142,0.4202627,0.4214346,0.4393553,0.4405669,0.3731564,0.5049816,0.5320851,0.638752,0.8740128,0.3061684,0.3009114,0.5675684,0.5304222,3.781797,0.9426991,0.2914834,0.2879247,0.8549495,0.5069122,0.4413516,0.4158036,0.3421989,0.5184064,0.6503047,0.2810912,0.5858165,0.4286078,0.3089616,0.5187821,0.4630071,0.4530612,0.4946407,0.2451877,0.3322132,0.2978091,0.3356121
"8-Jan",0.2083393,1.606447,0.2651849,0.3251142,0.4202627,0.4214346,0.4393553,0.4405669,0.3731564,0.5049816,0.5320851,0.638752,0.8740128,0.3061684,0.3009114,0.5675684,0.5304222,3.781797,0.9426991,0.2914834,0.2879247,0.8549495,0.5069122,0.4413516,0.4158036,0.3421989,0.5184064,0.6503047,0.2810912,0.5858165,0.4286078,0.3089616,0.5187821,0.4630071,0.4530612,0.4946407,0.2451877,0.3322132,0.2978091,0.3356121
"9-Jan",0.2083393,1.606447,0.2651849,0.3251142,0.4202627,0.4214346,0.4393553,0.4405669,0.3731564,0.5049816,0.5320851,0.638752,0.8740128,0.3061684,0.3009114,0.5675684,0.5304222,3.781797,0.9426991,0.2914834,0.2879247,0.8549495,0.5069122,0.4413516,0.4158036,0.3421989,0.5184064,0.6503047,0.2810912,0.5858165,0.4286078,0.3089616,0.5187821,0.4630071,0.4530612,0.4946407,0.2451877,0.3322132,0.2978091,0.3356121
"10-Jan",0.2083393,1.606447,0.2651849,0.3251142,0.4202627,0.4214346,0.4393553,0.4405669,0.3731564,0.5049816,0.5320851,0.638752,0.8740128,0.3061684,0.3009114,0.5675684,0.5304222,3.781797,0.9426991,0.2914834,0.2879247,0.8549495,0.5069122,0.4413516,0.4158036,0.3421989,0.5184064,0.6503047,0.2810912,0.5858165,0.4286078,0.3089616,0.5187821,0.4630071,0.4530612,0.4946407,0.2451877,0.3322132,0.2978091,0.3356121
