Year,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0.285714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0.285714285714286,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.961290322580646,0.961290322580646,0.961290322580646,0.961290322580646,0,0,0,0.961290322580646,0,0,0,0.961290322580646,14.9,0,0,14.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1.67741935483871,1.67741935483871,1.67741935483871,0,0,40.4,5.29257086999023,5.29257086999023,0,5.29257086999023,0,0,3.61515151515152,0,0,0,0,0,0,0,17.6,0,0,0,26.9,0,0,0,0,0,0,0,0,0,71.5,0,14.9
6,0,0,3.47941176470588,17.3470588235294,0,0,0,1.03235294117647,40.4,2.44705882352941,14.9,0,1.03235294117647,0,0,0,0,0,0,0,20.2,0,0,0,0,0,0,0,0,0,0,0,0,0,14.3,13.6,0
7,0,18.2,4.65294117647059,9.62151260504202,73.9,0,0,4.65294117647059,0,0,0,16.7685714285714,0,25.6,29,15.4,0,0,22.1,44.8,0,0,0,25.6,0,0,16.4,0,0,0,0,12.7,0,23.9,0,0,12.7
8,6.48,7,13.0428571428571,22,21.0628571428571,0,30.7,0,12.8,21.6,11.3,24.8,7,8,26.9,0,0,0,30.2,0,0,8,48.1,52.3,16.1,0,0,9.1,12,0,6.4,35,11,8.3,9.9,0,23.5
9,21.6,0,27.1542857142857,10.1,14.8,0,30.3,16.3,16.3,13.2,21,10.6542857142857,0,89.5,38.5,36.4,0,14.8,0,57.3,22.6,0,0,14.8,34.9,0,30.4,12.5,0,64.6,16.5,16.4,21.6,11.7,31.2,0,63.5
10,23.6657142857143,0,12.0588235294118,55.5,45.1,40.2,9.6,22.8,25.1,11.5,60.4,12.0588235294118,25.1245378151261,16.7,65.6,0,0,65.9,0,77.2,0,53.2,0,32.1,25.7,10.2,44,17.1,35,24.8,19.2,25,0,30.3,0,10.1,34.4
11,60.5,19.5,25.2,45.5,28.6757575757576,34.2,22.7,0,6.4,7.9,32.0563131313131,21.7,60,53.2,8.7,26.9757575757576,17,51.4,0,18.1,47,59.5,44.6757575757576,45.4,48.3,25.1,32.1,52.5,0,70.2,46.2,19.1,0,53.4,0,25,77.9
12,70.7,0,61.2,32.8,14.9457142857143,38.9,24.1457142857143,106.3,0,36.1,82.6,29.4,17.7,14.9,30.2,28.1,13.7,43.2,9.2,0,29,30.7,49.5,9.2,30.3,25.6,0,26.8,27,50.3,34.2,62.8,0,28.2,56.1,31.7,22.9
13,35.6,73,16.2787878787879,27.2,40.1,0,0,0,72.6787878787879,68.7,32.641645021645,21.7,35.8,36.1,0,16.2787878787879,0,58.9,50,23.8,8.4,12.6,67,13.6,0,91,0,89.9,7.4,38.2,8.9,22.2,85,70.1,57.3,27.3628571428572,0
14,72,67.2,7.5,28.2333333333333,77.3,11.6,23.4,0,17,26.9,73.4,36.1,44.8,68.5,10.1,27.2,0,0,0,10.1,10.6,0,53.6,11.1,30.5,39.2,21,0,68,6.6,13.7,46.1,11.9,0,88.6,16,26.4
15,111.8,30.6,0,48.1057142857143,121.4,8,13.6057142857143,0,35,0,12.3,0,49.9,122.5,34.5,8,0,0,8,0,0,0,42.9,10.8,21.2,8,0,8,74.9,0,0,40.1,63.1,0,29.6,0,36.1
16,12.2,2.8,0,2.08,2.8,0,2.49666666666667,0,0,0,0.7,3.4,1.7,8.3,12.5,0,0,1.1,0,1.3,2.8,0,0.8,0,7.3,8.2,3,0,0.5,2.8,0,0,2.6,3.5,0,5.3,4.2
17,0.6,0.7,0,1.4,0,0.8,0.7,0,1,0,1,1,0.6,3.5,1.8,0,0.6,0,0.6,0,0,0,0,1,1.9,0,0,0.8,1,0,0,0,0.6,0.5,0,1.3,0
18,0,0,0,26.6,6.81944444444444,8.6,0,0,15.5,0,11.4,0,11.4,0,1.9,0,18.9,14.1,22,0,0,20.3,10.8,0,12.6,0,8.6,19.7,9.2,10.7,0,0,0.5,11,11.4,9.4,0
19,17.8666666666667,0,15.9,46.6,14.3,37.5,30.8,36.8,53.1,11,11,28.6,11,91,109.2,55.4,66.2,40.1,0,16,61.1,22,52.4,45.8,178.3,22.5,45.6,34,33.6,46.6,45.8,0,20.8,28.1,55.2,31.9,32.6
20,16.5,8.7,59.1,14.2,9.8,154.4,83.1,72.6,31.4,22.6,56.6,52,39.4,81.6,47.6,79.6,86.8,33.6,62.6,19.9,16.6,64.5,61.2,17.5,118.3,50.7,41,175,57.6,45.3,96.2,12,14.9,38.7,21.2,38.6,39.4
21,38.8,22.2,7.6,79.1222222222222,37.1027777777778,134.7,31.7,47.7,62.4,55.8,41,79.1,99.4,21.1,12.9,143.4,69.9,113.1,117.2,55.7,70.5,22.9,74.6,49.3,48.6,53.9,73.2,74.2,84.8,103.5,99.8,74.8,0,132.1,33.3,47.4,63.5
22,19.6,9.8,23.9,79.7175396825396,49.2314285714286,104.7,55.5,24.3,40.7,95.8,31.2,32.4,113.1,71.8,51.4,77,37.9,180.3,137.4,93.8,91.6,118.8,44.5,115.6,97.7,57.4,6.5,101.7,134.3,100.4,83.5,108.8,103.8,136,56.5,111.5,151.4
23,67.8,36.4666666666667,8.9,45.3666666666667,68.0666666666667,71,27.8,20.8,41.7,144.9,46.3666666666667,159.7,93.8,47.6,52.8,140.4,114.6,139.1,128.8,48.4,133.9,84.6,56.6,30.5,55.5,28.8,40.6,146.7,52.6,52.2,116.4,51.4,32.9,56.6,142.4,72.5,69.7
24,54.4,9.8,58.8,80.4,9.8,68.2,17.2,19.8,7.6,76,46,87.9,57,133.2,19.8,160.8,133.3,75.2,68.4,25.9,86.5,11.4,134.6,113.7,64.7,59.7,122,147,72.6,45.1,42.1,108.3,89.9666666666667,19.2,124.1,64.3,45.8
25,0,25.4442016806723,24.8,29.8470588235294,5.1,27.7,24.1971428571429,13.2,8,13.4,23.7,15.6,18.1,50,4.8,43.6,34.5,18.8,23.3,45.4,15.2,12,21.9,49.4,35.6,52.3,12,34,20.4,11.2,35.6,34.1,28.6470588235294,30.8,29.1,53.5,16.2
26,10.5,20.3,13.1828571428572,16.2,5.8,24.4828571428571,9.8,11.3,8.2,22.1,2.7,0,3.1,10.1,16,18.3,17.9,10.3,18.2,23.5,8.1,14.1,9.3,2.9,12.4,9.2,6.2,15.8,0,3.1,11.9,31.5,19.6,8.8,15.4,34,16.9
27,2.4,5.5,5.6,4.4,5.8,10.1,8.75849673202615,17.7,11.6,10.7,15.6,7.4,4.60294117647059,2.1,10.7,15.8,10,22.9,8,4.4,20.5,3.4,10.4,7.30294117647059,0,13.5,0,4.1,10,4.5,5.6,9.2,4.1,11.2,16.7,5.8,13.7
28,5.03714285714285,0,5.1,0,9,12.4,3.4,8.9,25.7,13.3,5.03714285714285,0,0,3.7,7.1,25,32,14,7.3,0,0,5.6,0,0,5.6,4.7,4.4,3.7,0,0,20.7,31.8,0,0,9.5,0,30.1
29,2.64285714285714,0,5.1,0,0,0,0,3.4,0,0,5.45714285714286,0,2.81428571428571,0,24.1,12.1,28.1,10.1,0,0,0,5.1,0,3.4,0,5.7,28.2,0,0,0,5.5,5.2,0,0,21.8,19.8,13.4
30,1.96285714285714,0,4.2,0,0,0,0,0,0,0,4.2,0,2.7,1.96285714285714,41.6,2.9,0,14.9,0,3.5,5.5,0,0,25.9,0,34.7,2.7,0,0,8.1,0,0,8.3,3.6,0,2.7,0
31,0,0,4.05142857142858,4.05142857142858,0,0,10.0138888888889,0,0,44.4,0,0,0,0,0,0,0,28,0,9.4,0,0,0,0,0,86.6,0,0,113.4,8.3,0,0,13.8,163,0,35.4,0
32,4.3969696969697,8.10579322638146,0,0,0,8.10579322638146,0,0,0,0,3.70882352941176,13.7,4.3969696969697,53.2,61.1,0,0,0,0,0,0,0,28.3,0,0,0,0,0,0,0,65.2,0,35.1,0,0,0,14.6
33,0,11.4194117647059,0,4.07941176470588,0,11.4194117647059,33.2,0,0,0,0,0,0,45.8,30.1,0,0,0,0,0,0,0,0,0,0,0,39.9,0,0,0,62.8,46.5,0,37.7,0,31,68.6
34,0,15.8,0,0,0,3.29487394957983,15.0205882352941,0,17.2,0,1.77428571428571,0,5.1,0,0,0,0,0,0,0,4.3,0,4.3,31.6,0,0,5.5,5.9,0,10.6,0,0,1.52058823529412,0,0,0,0
35,0,0,1.6590756302521,0,0,1.6590756302521,12.5,0,0,0,0,0,27.7,0,0,0,0,9.4,0,0,0,0,0,1.26764705882353,0,0,0,7.2,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,1.90007936507936,0,0,11.5,1.00285714285714,0,0,0,0,0,0,0,0,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,44.4,0,0,0,0
