"","MIXEDVEGg"
"1981",0.341293322038546
"1982",0.368070549777277
"1983",0.296992010152641
"1984",0.306317522551063
"1985",0.254107050043946
"1986",0.315353559722029
"1987",0.28498878780033
"1988",0.248575868162366
"1989",0.268198775908433
"1990",0.233253936681106
"1991",0.333859782805227
"1992",0.337416302628122
"1993",0.296506068678029
"1994",0.386659525853975
"1995",0.296020191303335
"1996",0.301241193684105
"1997",0.28865902087688
"1998",0.354568222654256
"1999",0.364741520561611
"2000",0.3990983
"2001",0.3216754
"2002",0.3162835
"2003",0.3001755
"2004",0.2521846
"2005",0.3161342
"2006",0.3179005
"2007",0.3310985
"2008",0.312426
"2009",0.2639823
"2010",0.3310723
"2011",0.3361925
"2012",0.2622015
"2013",0.2637214
"2014",0.4002058
"2015",0.2493165
"2016",0.2897985
"2017",0.3394507
"2018",0.3149306
"2019",0.3259847
