Year,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0.126586891891892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.683715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0.0494346756756757,0,0,0,0,0,0,0,1.829083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,1.795968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.1600022,1.600022,0.448094085714286,0.2371852,0.1600022,0,0.1600022,0.507479923552124,0.1600022,0,0.1600022,2.8614072,0.1600022,0,0.1600022,0.1600022,0.1600022,0,0.370911085714286,0.1600022,0.1600022,0,0.1600022,0.1600022,0.1600022,0,2.3572782,0.1600022,0.1600022,0,0.1600022,0.1600022,0.1600022,7.381811,0.1600022,0.1600022,0.1600022
7,0,0,0.476131571428571,0,0.476131571428571,0,0,19.6175832432432,0,0,0,0,0,4.178879,0,0.476131571428571,0,0,0,18.24297,0,0,0,7.881379,0,0,0,0,0,0,5.451261,9.426873,0,0,0,0,0
8,0,0,0.598955918918919,0,0.399181864864865,0,5.648473,0,0,0,0,0,0,0,4.466444,0,0,0,0,0,0,0,17.68397,0,0,0,0,10.77321,27.590294,0,0,20.689832,0,0,0,0,0
9,0.090062,0,0.0966310472222222,0,0,0.249562621621622,0.2364857,0,0,0,0.00656904722222222,3.242232,0,20.678517,0,0,0,0,0,9.233817,0,0,0,0,11.30896,0,5.284349,0,0,0,0,0,3.432435,0,0,0,0
10,1.14084942777778,0,0.548737405405405,0.154432156756757,0,0.9541558,1.86305563288288,0.303769459459459,17.63237,0,3.1993596,0.0910235945945946,0.900158416666667,0,15.999304,0,0,47.976797,0,0,0,10.68892,0,44.072548,4.747716,16.8082,4.643997,0,0.7229804,0,0,0,0,0,0,0,5.338747
11,0,5.310173,0,19.5769,57.04404,9.538805,0,0,0,6.492444,0.132489,0,4.685119,4.67495,0,0.161441194444444,0,4.769604,0,0,0,0,0.230850527777778,5.811883,0,12.77864,0,5.37335,0,0.6662512,12.58039,0,0,0,0,0,7.91171
12,6.98546541325864,0,8.76696823865546,3.426718,1.45468997222222,0,2.12432963865547,16.582484,0,0,40.986485,3.381271,13.01774,18.60549,0,0,0,19.048602,11.49042,0,0,0,5.432156,0,4.382012,11.97008,0,5.487924,13.27272,0,0,28.210476,0,0,20.766791,0,0
13,2.531044,0,16.4048772277778,1.072875,0,0,0,0,18.915421,28.727178,0,14.513072,10.43845,6.8614777,8.9556722,17.23384,0,5.00753,7.082162,0,0,0,0,8.182821,0,30.664523,0,21.081975,0,6.51144,0,3.629554,25.685547,56.1591645,15.270151,4.10841,0
14,0,16.190695,7.11237057428571,1.64373224095238,48.143334,0,2.05678525,0,0,0,19.547765,7.740823,0.7786751,57.1536,2.248027,4.952078,0,0,0,0,0,0,4.649246,0,2.909578,24.89296,0,0,28.101459,0,11.62996,47.511687,0,0,40.99863,0,10.30122
15,0,0,0,11.0040128285714,167.007532,0,2.887197725,0,6.278762,0,8.303299,0,20.611015,57.754036,34.465492,6.14670482857143,0,0,0,0,0,0,17.550581,0,0,0,0,0,170.622414,3.665925,0,41.268696,0,4.764966,0.7493021,24.93668,9.44752
16,61.974056,0,0,0,5.440715,24.91634,3.06975619444444,0,7.629384,0,55.6322879444444,39.507974,0,18.7141382,15.792155,27.563246,0,3.114299,0,0,0,0,0,5.690007,7.470917,6.904566,0,60.335443,0,0,0,0,0,0,9.0981282,0,72.080678
17,1.93758125,0,0,7.990465,41.260136,9.328704,32.21265,0,12.713426,0,0.720981527777778,0,0,19.200201,4.330044,0,3.408625,0,0,3.505536,6.591275,0,0,0,3.377454,0,10.7654,12.164202,43.535397,5.20045,0,0,9,21.750236,0,38.898459,93.101071
