Year,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0.755882352941176,0,0,0,0,0.755882352941176,0,0,0,0,0.755882352941176,0,0,0,0,0,0,0,0,0,0,0,0,0,25.7,0,0,0,0,0,0,0,0,0,0
7,0,0,4.18235294117647,5.34806722689076,0,0,0,4.18235294117647,0,0,0,1.16571428571429,0,37.2,0,0,0,0,0,26.6,0,0,0,40.8,0,0,23.2,0,0,0,23.2,32,0,0,0,0,0
8,2.32857142857143,0,7.18571428571429,33.7,4.85714285714286,0,0,0,30.7,0,0,0,27.5,0,24.3,0,0,0,0,0,0,0,27.6,21.1,0,0,0,47.8,0,0,0,38.8,0,0,0,0,0
9,0,0,4.74285714285715,0,0,0,44.3,0,0,0,0,4.74285714285715,17.9,80.2,0,0,0,0,0,40.8,26.7,0,20.6,0,23.3,0,30.2,0,0,16.5,0,0,30.1,24,0,0,0
10,3.78,0,3.57941176470588,6.6,7.1,11.7,2.5,5.4,16.9,3.3,18,7.17941176470588,7.35941176470588,4.1,21.5,0,0,54.8,0,12.2,0,22.2,0,8.9,10,7.5,7.4,6.3,4.8,0,0,3.6,0,2.9,0,7,5.7
11,7.2,9.7,0,28.8,19.5181818181818,14.1,10.8,0,4.7,7.2,9.39873737373738,3.8,21.3,10.7,4.3,8.91818181818182,11.1,25.9,0,0,3.8,13.6,11.2181818181818,11.3,5.6,12.2,3.8,19.2,3.3,17.2,17.3,5.3,0,9.1,3.9,0,13.5
