Time,NDVI
Jul 1981,0.3322903
Jul 1982,0.3721936
Jul 1983,0.2270323
Jul 1984,0.5644194
Jul 1985,0.4201613
Jul 1986,0.4564516
Jul 1987,0.5287097
Jul 1988,0.3433549
Jul 1989,0.474871
Jul 1990,0.3820323
Jul 1991,0.388742
Jul 1992,0.320742
Jul 1993,0.3913871
Jul 1994,0.5080323
Jul 1995,0.4887097
Jul 1996,0.4528387
Jul 1997,0.4731936
Jul 1998,0.4128387
Jul 1999,0.2799678
Jul 2000,0.3757097
Jul 2001,0.5242903
Jul 2002,0.5836774
Jul 2003,0.4170645
Jul 2004,0.5641291
Jul 2005,0.4183226
Jul 2006,0.5423226
