"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"1",0,7,0,2,1,2,0,0,0,1,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
"2",0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",3,0,6,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"4",1,5,11,2,1,0,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",3,11,0,1,1,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",1,5,0,0.733333333333333,0,5,0,0.733333333333333,0,8,0,0.733333333333333,0,0,3,0.733333333333333,0,0,0,0.733333333333333,0,0,0,0.733333333333333,0,0,0,0.733333333333333,0,0,0,0.733333333333333,0,0,0,0.733333333333333,0,0,0,0.733333333333333
"7",5,11,0,5,0,13,10,0,0,10,0,0,0,8,0,5,0,0,0,0,0,16,0,0,0,0,0,0,9,0,0,0,0,28,0,0,0,0,1,0
"8",32,5,4,0,2,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,14,26,0,0,0,0,9,0
"9",28,1,0,0,23,0,0,0,11,18,23,0,28,0,17,35,0,20,0,0,8,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,16,8,3
"10",0,17,4,0,24,0,7,11,0,0,18,3,35,4,0,4,22,0,0,12,5,28,0,21,0,0,12,41,5,20,9,1,0,3,1,11,0,0,8,8.35897435897436
"11",10,8,20,7,6,15,12,10,20,5,10,13,28,10,11,9,12,0,0,30,7,0,4,0,7,19,3,4,1,17,0,1,12,2,0,9,6,0,17,8.84615384615385
"12",28,9,2,0,28,0,3,2,11,27,12,30,15,0,7,42,3,0,9,12,8,0,11,8,1,7,10,0,0,0,15,8,7,12,0,20,36,14,12,10.4871794871795
"13",5,56,15,14,47,0,21,0,0,13,48,40,8,22,37,29,25,43,10,8,9,0,0,0,24,34,21,81,3,92,17,30,4,93,73,116,38,14,11,28.2307692307692
"14",25,15,50,45,39,14,75,0,21,0,10,16,45,20,12,73,60,46,0,0,13,10,0,0,14,32,10,41,6,0,59,0,32,71,6,28,64,0,10,24.6666666666667
"15",7,11,31,33,24,13,91,4,8,11,12,0,19,0,27,44,46,19,27,13,26,9,14,0,7,45,26,20,0,31,36,17,6,63,55,21,31,32,41,23.5897435897436
