"","1","2","3"
"1983",8.9601516547619,5.38504839495798,53.7303398235294
"1984",42.56315,29.399539,54.399539
"1985",0.556575222222222,25.5565752222222,75
"1986",42.12404,50,69.50129
"1987",4.6717449047619,7.68005901904761,46.7591299781746
"1988",28.492898,34.733441,75
"1989",8.14088788888889,31.043417,75
"1990",0,0,50
"1991",27.888794,50,67.960277
"1992",0,0,27.579689
"1993",50,0,41.201138
"1994",17.741903,39.466616,71.724713
"1995",0,18.1523741600373,68.1523741600373
"1996",50,25,75
"1997",55.657033,45.226069,75
"1998",11.96596,25,75
"1999",26.096881,41.520769,75
"2000",18.874887,28.583039,75
"2001",16.823766,36.315267,75
"2002",25.969109,35.35165,75
"2003",27.678297,38.458207,75
"2004",12.5143,7.915222,53.523432
"2005",9.465289,34.465289,75
"2006",21.417876,37.78068,73.38711
"2007",25.383945,41.425681,75
"2008",45.109358,25,75
"2009",12.432318,29.227266,75
"2010",9.020706,34.020706,75
"2011",36.302387,37.253155,69.63231
"2012",17.37797,24.443727,57.065757
"2013",0,25,75
"2014",0,25,74.855153
"2015",23.114619,16.377883,50.228654
"2016",39.664579,24.279535,67.275935
"2017",0,25,75
"2018",50,25,75
"2019",45.125263,43.18822,75
