"","1","2","3"
"1983",29.576322552381,28.2249062857143,75
"1984",7.29543620555556,8.23426080555556,51.688254
"1985",18.2080573916667,40.9865608916667,75
"1986",50,50,75
"1987",60.7848426801587,24.0355094801587,31.4535211333333
"1988",20.8051706,25,75
"1989",18.9494897222222,27.117409,60.931768
"1990",23.73788,23.73788,50
"1991",19.646233,12.408564,62.408564
"1992",0,4.72635,54.72635
"1993",34.9232526388889,34.148798,75
"1994",53.9248496,49.75046,74.3585604305556
"1995",0,25,75
"1996",50.662291,37.899927,63.58627
"1997",29.2687732,32.5567412,51.00802
"1998",40.8477296,50,75
"1999",22.2988865,44.2650845,75
"2000",27.393708,44.042011,69.042011
"2001",0,18.81598,68.81598
"2002",3.561428,4.888563,48.458045
"2003",16.796703,26.631778,47.832416
"2004",18.065411,22.214686,41.146979
"2005",25,49.856359,74.856359
"2006",25,33.4705411,49.5897288
"2007",10.442246,25,75
"2008",1.246471,25,75
"2009",10.55374,21.351194,60.797454
"2010",36.319879,23.372018,68.250708
"2011",45.304212,45.304212,75
"2012",30.383372,50,75
"2013",8.34453,26.650094,68.305564
"2014",6.68963,30.054517,66.7172093
"2015",5.701558,27.088328,75
"2016",46.718129,50,75
"2017",27.7070813,44.430358,75
"2018",42.905638,49.284173,62.63273
"2019",64.732809,30.283222,65.550413
