Time,HainET30Y Evapotranspiration
Jul 1983,28.65351
Jul 1984,16.1804
Jul 1985,24.19764
Jul 1986,29.22631
Jul 1987,28.25516
Jul 1988,22.3631
Jul 1989,26.60368
Jul 1990,16.35411
Jul 1991,25.20068
Jul 1992,28.07226
Jul 1993,26.62249
Jul 1994,21.2264
Jul 1995,23.67816
Jul 1996,21.86972
Jul 1997,30.20029
Jul 1998,21.99614
Jul 1999,31.15789
Jul 2000,33.87957
Jul 2001,23.76923
Jul 2002,24.70502
Jul 2003,27.95158
Jul 2004,24.50374
Jul 2005,25.57873
Jul 2006,21.26969
Jul 2007,19.15328
Jul 2008,27.64765
Jul 2009,20.10467
Jul 2010,20.32938
Jul 2011,18.60321
Jul 2012,20.07228
Jul 2013,12.45451
