"","MIXEDVEGg"
"1981",0.307590428358536
"1982",0.270529886292102
"1983",0.239615824480837
"1984",0.293031151560951
"1985",0.291370106330108
"1986",0.31467164525444
"1987",0.324765625205026
"1988",0.210147625430062
"1989",0.320152398227275
"1990",0.290764876967651
"1991",0.279904312072305
"1992",0.279305795435624
"1993",0.298619474921988
"1994",0.313831053550355
"1995",0.253388294768438
"1996",0.275808882246136
"1997",0.30841759461107
"1998",0.309204359427105
"1999",0.27480685157185
"2000",0.249799
"2001",0.3323467
"2002",0.3249133
"2003",0.2722137
"2004",0.2741946
"2005",0.2425575
"2006",0.2983915
"2007",0.3349554
"2008",0.3330405
"2009",0.1937228
"2010",0.3022092
"2011",0.2936815
"2012",0.2421825
"2013",0.2547835
"2014",0.3222488
"2015",0.2782118
"2016",0.2317218
"2017",0.2584319
"2018",0.2544287
"2019",0.3179673
