"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"1",1.868606,11.18686,1.642753,1.898421,2.370405,1.985294,3.096202,2.142963,2.253402,2.526369,2.912491,2.813278,1.772279,1.990307,1.642842,2.99985,2.085523,5.459068,8.340792,1.707691,1.704687,4.260918,1.806375,1.953128,2.682105,1.885679,3.402371,1.716167,1.410406,2.347209,4.166118,1.833903,4.380459,4.035702,2.455317,2.887643,2.398953,2.295492,2.478835,2.803869
"2",2.089841,4.431843,1.663988,1.861055,2.386579,4.858809,3.02383,2.326879,3.952422,2.566348,2.414305,3.042458,2.690065,1.93078,1.636893,3.210096,1.856103,3.725359,3.849236,1.597314,1.594504,3.815769,1.68962,1.826887,3.187325,1.602765,8.244327,6.735335,1.452078,2.551478,4.115565,1.801113,6.825837,3.76362,2.41486,1.964606,2.239982,2.315579,2.325123,2.174388
"3",2.631428,3.093403,3.197786,2.845659,3.435837,2.805543,4.202075,2.844592,3.313672,3.749118,3.562756,3.64846,2.414497,2.725166,2.461,4.333563,2.570736,8.687499,5.606671,2.329531,2.325433,5.620786,2.46415,2.664341,4.552333,2.160295,5.915279,2.419302,2.949927,5.21955,4.299723,2.392547,3.467595,4.841169,3.312595,3.330729,3.524393,3.523098,3.309003,4.092047
"4",3.883847,7.341483,8.06802,3.578128,4.83393,4.384677,4.631996,12.52802,5.933433,11.03393,5.530638,4.968246,4.254662,5.374783,5.470218,4.040576,3.383832,10.56614,3.252518,3.372569,4.21494,4.475253,8.868009,6.374405,4.1999,3.823361,4.729516,3.026616,4.220989,3.623106,3.457541,3.384551,6.164233,4.548625,7.696383,4.743552,5.689276,6.685863,3.728235,4.771605
"5",3.230289,5.501265,6.03087,3.720583,5.14184,5.59769,4.542757,12.28117,4.055693,7.07648,5.913747,4.48544,4.688072,5.68704,6.663326,4.029902,4.445647,5.652339,3.285384,3.324661,4.733654,5.416111,9.959356,7.158877,6.979575,4.029797,5.771663,4.424124,5.748629,4.14346,3.587898,3.651778,3.677405,6.592803,7.798353,5.367374,32.09818,8.710513,14.94768,6.938636
"6",2.629807,3.691432,4.320427,3.88072083333333,3.479985,4.158961,4.646628,3.88072083333333,3.195978,2.631032,3.324379,3.88072083333333,4.98579,7.892212,6.235118,3.88072083333333,2.649173,4.083952,2.359084,3.88072083333333,2.885894,4.086919,6.071768,3.88072083333333,2.875611,2.358026,2.889003,3.88072083333333,2.721033,1.882066,2.223961,3.88072083333333,2.253374,2.944687,3.675414,3.88072083333333,4.825457,7.633385,6.811069,3.88072083333333
"7",6.392869,28.91223,3.220015,12.50156,17.60838,8.892033,25.40265,4.505529,8.957001,8.858154,7.611477,4.706923,13.198,7.215411,5.461743,9.879402,18.50841,7.938066,3.984252,5.475437,10.01262,17.94483,21.16408,10.95254,9.027491,5.352856,5.331676,4.141852,18.64713,6.959677,8.151446,18.14846,9.289902,32.73774,7.005102,6.037838,10.93252,8.880347,11.8206,11.0709807435897
"8",10.39967,18.92513,3.802848,3.447962,7.827832,6.570597,6.678967,3.673022,14.4346,6.064385,8.842993,8.793915,30.95847,7.319936,6.455906,7.711891,29.28645,5.669219,3.653729,4.981624,17.04915,10.70039,16.61369,9.964767,35.84545,6.97389,4.068336,3.867441,7.528568,8.704563,26.83177,6.188513,15.57795,62.67304,16.35037,5.812204,10.0935,8.308168,27.3301,12.7174616923077
"9",18.68855,7.332825,5.16081,3.343736,10.42804,10.22024,10.47838,3.986511,31.6655,25.06145,17.08147,6.543539,37.67479,6.753261,10.27638,30.8437,17.66949,30.4633,4.24581,5.935594,12.85108,38.72666,9.339743,11.873,9.786162,7.17913,11.8585,4.259196,16.62441,6.381013,13.22068,30.7389,6.190967,6.305354,16.43641,9.025967,9.780021,9.986886,20.71132,13.9776608974359
"10",6.350245,8.281851,10.29163,6.887592,26.68655,12.8622,11.53768,9.404547,14.43629,10.32738,13.35258,7.645318,21.77087,10.05757,15.45261,29.15405,37.36231,6.785022,9.415886,20.44242,9.182173,21.31322,15.17912,23.90293,9.091652,12.02843,10.56803,23.80919,7.533572,17.51155,17.49798,10.74445,7.121544,13.10246,8.823727,15.07455,12.51178,19.91826,12.58294,14.2564656153846
"11",8.935097,9.328236,9.088832,6.455175,23.65505,24.42799,17.24472,25.58065,18.29363,11.47348,9.556727,10.7459,29.32425,15.83132,17.37937,11.87976,12.23636,11.67837,9.209669,56.93258,9.763299,16.9704,13.07395,14.03854,13.40346,22.99257,18.67055,29.27731,7.30493,17.3891,9.051812,9.129257,18.82719,23.4472,16.17504,13.27549,9.393564,9.670187,27.91539,16.3852924358974
"12",44.06781,15.67021,8.297382,5.858202,28.77117,9.538637,6.329058,5.917989,15.28371,26.34353,7.628117,63.46161,49.11241,12.13032,15.57917,41.99586,15.83855,5.832232,5.972631,22.4768,9.787588,8.209792,15.5887,26.69987,12.26646,15.8388,14.49706,20.88321,13.57745,21.82024,18.0173,11.93881,20.91131,37.30613,14.57018,14.64264,51.78497,13.89057,21.95339,19.7510222564103
