"","MIXEDVEGg"
"1981",0.319217254067592
"1982",0.216571176939342
"1983",0.30733951138776
"1984",0.337135197453577
"1985",0.295222288881807
"1986",0.37131373540268
"1987",0.269035926297863
"1988",0.280416498583015
"1989",0.30621615405322
"1990",0.322476748616338
"1991",0.324152479442545
"1992",0.256937199969184
"1993",0.309512469695613
"1994",0.249294910624118
"1995",0.345735063581323
"1996",0.329677070663711
"1997",0.353598336575235
"1998",0.300212774440713
"1999",0.274652598796629
"2000",0.3228979
"2001",0.3896291
"2002",0.3321676
"2003",0.2729172
"2004",0.3306926
"2005",0.2959036
"2006",0.2581556
"2007",0.3949386
"2008",0.3367341
"2009",0.2548608
"2010",0.3181875
"2011",0.3860355
"2012",0.3126506
"2013",0.3603352
"2014",0.3003055
"2015",0.3490666
"2016",0.3319423
"2017",0.3632534
"2018",0.4008888
"2019",0.4099211
