"","1","2","3"
"1981",26,42,75
"1982",29,39,75
"1983",28,33,71
"1984",53,50,75
"1985",16,25,75
"1986",59,50,75
"1987",51,31,75
"1988",43,47,75
"1989",39,35,75
"1990",35,50,75
"1991",67,50,75
"1992",50,50,75
"1993",54,43,75
"1994",50,50,75
"1995",25,50,75
"1996",75,50,75
"1997",61,50,75
"1998",28,46,75
"1999",41,50,75
"2000",50,50,75
"2001",75,50,75
"2002",41,47,75
"2003",38,50,75
"2004",50,50,75
"2005",38,50,75
"2006",62,50,75
"2007",52,50,75
"2008",59,34,75
"2009",37,37,75
"2010",51,32,75
"2011",50,50,75
"2012",45,50,75
"2013",56,50,75
"2014",35,50,75
"2015",35,27,52
"2016",58,50,75
"2017",24,43,75
"2018",75,50,75
"2019",58,48,75
"2020",60.7692307692307,50,75
