Year,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.656047444444445,0,0.656047444444445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.71657,0,0,7.901138,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0.0684650555555556,0,0,0,0.167254864864865,0.34452883933934,0,6.18843,0,0,0,0,4.323286,8.355816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.603359117647059,0.686806647058824,0.321043779411765,0,0,6.224224,0,0.924402897058824,0.0834475294117647,0,0.802834090620032,0,0,0,0,0,0,0,0,0,0,0,20.51421,0,12.889177,0,0,0,0,0,0,0,0,0,5.882078,0,0
6,0.4078012,4.078012,1.11697222316602,0.846900628571429,0.4078012,9.000001,0.4078012,0.846900628571429,0.4078012,0,4.6529642,0.4078012,15.7762812,0,0.4078012,0.4078012,0.4078012,0,0.4078012,0.4078012,0.4078012,0,0.4078012,0.4078012,0.4078012,0,0.4078012,0.4078012,0.4078012,0,0.4078012,0.4078012,0.4078012,0,0.4078012,0.4078012,10.4004502
7,0,7.503751,0.569185257142857,0,44.0241582571429,0,0.847522972972973,2.2814842972973,0,0,0,71.27608,0,2.360474,5.395533,0.569185257142857,0,0,0,10.17077,0,0,0,0,0,0,3.271023,0,0,0,0,20.563996,0,0,0,0,3.096884
8,0,21.803655,1.15676364864865,9.694304,2.14394810810811,0,24.19195,0,0,27.722379,10.27835,4.212626,0,0,29.804389,1.52978954054054,0,0,14.625539,0,27.84596,10.49243,52.873531,39.421223,0,0,8.690993,0,17.392391,0,0,28.774929,7.357522,65.10096,4.087202,0,8.708817
9,0.200347388888889,0,2.24456360285286,0,18.08325,0.652106324324324,14.52402,5.095006,0,0,19.4062489166667,0,0,36.643,6.370158,6.326416,0,0,0,24.475197,0,0,0,2.045112,13.099074,0,22.725372,0,0,3.916345,0,0,3.352979,0,3.583516,0,34.923815
10,2.37809763888889,0,0.508894081081081,0.292947810810811,0,11.404409,1.01998683633634,1.68272237837838,0,0,42.236171,0.339683810810811,0.727814944444444,0,20.536038,0,0,20.180522,0,19.877088,0,8.248981,0,41.92378,53.49838,10.41936,0,17.348705,9.88292,0,6.901968,0,0,5.666333,0,0,8.106805
