"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"1",1.322863,9.330905,1.664435,1.96161,2.188159,1.982015,2.087337,2.378241,1.833385,2.966139,3.232749,3.97992,4.074804,1.762549,1.702546,3.73639,2.958248,7.927421,4.106253,1.730103,1.748734,5.341243,2.581646,2.347166,2.618602,2.015359,3.361223,2.89989,1.706315,2.075413,2.559172,1.805224,3.067913,3.354551,2.852246,3.200403,1.636958,2.178238,1.88395,2.070611
"2",1.591719,6.522197,2.335305,2.153853,2.475679,2.091914,2.200948,2.889764,4.96158,3.458788,3.186299,5.344558,7.070283,1.935285,1.853401,4.197889,2.962771,7.491904,4.435043,1.933722,1.954544,4.669531,2.885484,2.623406,2.638445,1.975486,8.686477,9.576646,1.86396,2.56401,4.976774,1.985722,4.03972,3.400505,2.930828,2.636722,1.74228,2.129164,2.036839,2.50747
"3",1.339244,1.292719,4.209934,2.884433,3.861912,2.857471,2.831266,4.033375,2.955161,5.133461,4.739645,6.876443,5.711326,2.537698,2.645491,4.99001,4.133257,6.338926,6.087431,2.570457,2.598137,6.431496,10.30115,3.487242,3.890522,2.563621,4.9653,4.13515,3.284035,3.791345,3.932332,2.437405,4.314337,4.492756,4.050508,4.007871,2.469314,3.204141,2.749871,4.933988
"4",1.615877,14.31515,8.52702,1.903221,3.592073,4.895343,3.829219,10.25431,10.69606,18.05706,6.299691,5.881911,4.764744,3.320176,7.061317,2.414376,3.874221,13.50694,2.353729,2.296509,3.429711,2.980816,6.031262,3.827278,3.411211,2.478498,5.465764,2.380095,2.839657,2.598468,2.879963,2.157964,3.384132,4.165846,5.671993,3.512991,4.498615,4.585663,2.497528,3.020253
"5",2.123537,10.05527,6.555439,2.129425,4.102108,6.734972,3.591928,16.07829,2.974786,10.76543,7.407402,5.638758,5.680671,3.772349,8.904171,2.913097,3.815755,7.165574,2.52566,2.551667,3.998763,3.973925,7.03196,4.462295,6.508522,3.018343,13.6417,3.729999,4.014963,3.443039,3.009597,2.489664,3.573242,8.631181,4.878211,4.268871,39.76611,6.442533,17.06721,4.437082
"6",1.847268,7.667049,5.555311,4.51296443333333,2.789596,9.44668,5.02955,4.51296443333333,3.800601,3.250944,8.215405,4.51296443333333,12.60244,4.72976,5.832414,4.51296443333333,2.482336,6.097573,2.235512,4.51296443333333,2.883437,2.778966,5.974248,4.51296443333333,2.939168,2.187743,3.921054,4.51296443333333,2.248861,1.813852,2.242523,4.51296443333333,2.926176,3.775915,3.789271,4.51296443333333,5.413646,6.800306,4.111328,4.51296443333333
"7",20.89864,27.25073,2.825631,4.677605,6.578114,6.532692,71.72369,3.872022,5.497836,6.58731,6.497509,4.907769,9.390438,5.923083,6.071132,9.761835,4.989147,16.59458,4.652124,4.431692,10.88993,18.40611,9.590296,9.039006,6.525298,5.858298,5.357766,3.451381,8.704565,8.001449,4.664062,6.160442,4.838751,18.45507,5.987004,5.908065,7.952466,4.721969,16.18606,10.0092709487179
"8",21.40326,12.57845,3.577109,16.65966,5.380147,5.409149,5.265792,2.899877,25.04871,4.134185,6.99316,45.2993,37.26172,14.71077,5.812723,8.501187,39.09372,4.411283,3.690224,3.699615,44.55851,5.37828,12.13349,11.12674,41.20068,32.54184,12.77981,2.823761,6.352148,4.739782,33.51311,4.710497,5.76682,41.67134,11.22704,11.18841,9.317873,4.071157,13.32852,14.8784576666667
"9",38.9978,15.86248,11.70635,3.730737,17.81478,4.529295,18.32884,2.886835,16.79692,26.26576,14.39292,5.345153,23.37272,4.649446,7.821229,59.55639,51.06131,12.3569,3.96974,6.74767,26.34909,30.17978,10.06535,7.807002,5.635909,19.29215,13.66876,2.795677,21.81979,4.718612,2.918088,35.11143,5.50659,3.736712,16.54144,6.530663,10.38197,3.841907,28.7517,15.431946025641
"10",5.924556,31.81974,7.75416,6.498823,34.63835,15.60954,28.02253,14.62453,9.943785,6.25348,11.57138,3.334657,42.01727,7.469998,27.9205,10.04154,27.78614,5.798758,7.208408,8.500727,5.638144,21.52039,12.04619,22.42257,7.431346,23.51283,10.42609,13.23334,6.013788,13.05933,14.67382,12.12684,5.019131,17.37514,5.655038,17.99479,4.756258,13.96686,12.2139,14.1493504358974
