"","1","2","3"
"1983",48.6,34.4,75
"1984",62.6,50,75
"1985",56.2,50,75
"1986",75,50,75
"1987",75,50,75
"1988",75,50,75
"1989",71.7,50,75
"1990",42.1,50,75
"1991",50,50,75
"1992",51.5,46.3,75
"1993",59.4,34.4,75
"1994",69,50,75
"1995",56.5,50,75
"1996",67.2,42.2,75
"1997",75,50,75
"1998",67.2,50,75
"1999",35,50,75
"2000",61.1,50,75
"2001",71.4,50,75
"2002",60.9,50,75
"2003",49.6,50,75
"2004",50,50,75
"2005",71.7,50,75
"2006",71.1,50,75
"2007",72.5,50,75
"2008",75,50,75
"2009",75,50,75
"2010",75,50,75
"2011",75,50,75
"2012",68.4,50,75
"2013",55.6,50,75
"2014",57.7,50,75
"2015",61.8,50,75
"2016",70.5,50,75
"2017",43.3,50,75
"2018",75,50,75
"2019",75,50,75
