Time,Monitoring Merged Station-Satellite Rainfall
1-10 Jan 1981,0.0
11-20 Jan 1981,0.0
21-31 Jan 1981,0.0
1-10 Feb 1981,1.0
11-20 Feb 1981,4.0
21-28 Feb 1981,0.0
1-10 Mar 1981,4.0
11-20 Mar 1981,34.0
21-31 Mar 1981,30.0
1-10 Apr 1981,3.0
11-20 Apr 1981,11.0
21-30 Apr 1981,26.0
1-10 May 1981,8.0
11-20 May 1981,24.0
21-31 May 1981,6.0
1-10 Jun 1981,14.0
11-20 Jun 1981,24.0
21-30 Jun 1981,51.0
1-10 Jul 1981,102.0
11-20 Jul 1981,129.0
21-31 Jul 1981,161.0
1-10 Aug 1981,99.0
11-20 Aug 1981,112.0
21-31 Aug 1981,98.0
1-10 Sep 1981,50.0
11-20 Sep 1981,53.0
21-30 Sep 1981,27.0
1-10 Oct 1981,29.0
11-20 Oct 1981,1.0
21-31 Oct 1981,7.0
1-10 Nov 1981,4.0
11-20 Nov 1981,1.0
21-30 Nov 1981,3.0
1-10 Dec 1981,1.0
11-20 Dec 1981,0.0
21-31 Dec 1981,0.0
1-10 Jan 1982,6.0
11-20 Jan 1982,8.0
21-31 Jan 1982,0.0
1-10 Feb 1982,5.0
11-20 Feb 1982,11.0
21-28 Feb 1982,6.0
1-10 Mar 1982,10.0
11-20 Mar 1982,5.0
21-31 Mar 1982,2.0
1-10 Apr 1982,16.0
11-20 Apr 1982,8.0
21-30 Apr 1982,14.0
1-10 May 1982,50.0
11-20 May 1982,15.0
21-31 May 1982,14.0
1-10 Jun 1982,21.0
11-20 Jun 1982,50.0
21-30 Jun 1982,45.0
1-10 Jul 1982,53.0
11-20 Jul 1982,69.0
21-31 Jul 1982,105.0
1-10 Aug 1982,111.0
11-20 Aug 1982,117.0
21-31 Aug 1982,95.0
1-10 Sep 1982,69.0
11-20 Sep 1982,37.0
21-30 Sep 1982,20.0
1-10 Oct 1982,52.0
11-20 Oct 1982,49.0
21-31 Oct 1982,2.0
1-10 Nov 1982,13.0
11-20 Nov 1982,9.0
21-30 Nov 1982,9.0
1-10 Dec 1982,0.0
11-20 Dec 1982,6.0
21-31 Dec 1982,0.0
1-10 Jan 1983,0.0
11-20 Jan 1983,0.0
21-31 Jan 1983,0.0
1-10 Feb 1983,10.0
11-20 Feb 1983,0.0
21-28 Feb 1983,0.0
1-10 Mar 1983,0.0
11-20 Mar 1983,5.0
21-31 Mar 1983,0.0
1-10 Apr 1983,4.0
11-20 Apr 1983,12.0
21-30 Apr 1983,3.0
1-10 May 1983,28.0
11-20 May 1983,53.0
21-31 May 1983,34.0
1-10 Jun 1983,55.0
11-20 Jun 1983,15.0
