"","1","2","3"
"1983",75,50,75
"1984",73.1,50,75
"1985",60.3,50,75
"1986",75,50,75
"1987",75,50,75
"1988",75,50,75
"1989",75,50,75
"1990",43.8,50,75
"1991",58.4,50,75
"1992",72,50,75
"1993",75,50,75
"1994",75,50,75
"1995",73.2,50,75
"1996",68.3,43.3,75
"1997",75,50,75
"1998",75,50,75
"1999",54.6,50,75
"2000",72.3,50,75
"2001",75,50,75
"2002",58.4,50,75
"2003",75,50,75
"2004",57.4,50,75
"2005",72.6,50,75
"2006",75,50,75
"2007",75,50,75
"2008",75,50,75
"2009",75,50,75
"2010",75,50,75
"2011",75,50,75
"2012",75,50,75
"2013",57.5,50,75
"2014",75,50,75
"2015",65.6,50,75
"2016",64,50,75
"2017",67.5,50,75
"2018",75,50,75
"2019",75,50,75
